postproc_funcs,"['safe_inverse', 'lambda x: x', 'lambda x: x**2', 'lambda x: safe_inverse(x**2)']",target_name,e
"a poly2sympoly [a_0, a_1, ...]","b poly2sympoly  [b_0, b_1, ...]",procpost_func index,u,l,c,d,convergence type,convergence rate,postfunc(cont_frac),(u/pi+pi/l+c)/d
"((-2, -2, 0),)","((0, 4, 0),)",0,0,-2,1,1,exp,"(Decimal('14.441338721759641745924664693734018026430898513324'), Decimal('11.355648555860237711614189091168114521397756769934'))",-0.35914091422952261768014373567633124887862354684998,-0.3591409142295226176801437356763312488786235468500
"((-2, -1, 0),)","((2, 1, 0),)",0,0,-2,1,1,exp,"(Decimal('14.449787544422338992524292865006942544172727308386'), Decimal('11.403734602366544261661609005891031502298614152221'))",-0.35914091422952261768014373567633124887862354684998,-0.3591409142295226176801437356763312488786235468500
"((0, -2, 0),)","((0, 4, 0),)",0,0,-1,1,2,exp,"(Decimal('23.482964083473088559938139915876069326957993593632'), Decimal('420418.93773305742097178047475443645631685783694467'))",-0.85914091422952261768014373567633124887862354684997,-0.8591409142295226176801437356763312488786235468500
"((-3, -1, 0),)","((0, -1, 0),)",1,0,-1,0,1,exp,"(Decimal('15.201514620495750346649629948682734635404745284671'), Decimal('1.0257045674516218830400914009550781421157521555448'))",-2.7182818284590452353602874713526624977572470937000,-2.7182818284590452353602874713526624977572470937000
"((-1, -1, 0),)","((0, 1, 0),)",0,0,-1,2,1,exp,"(Decimal('14.441338713876200494553640500838754841965918343970'), Decimal('5.6778242555442892675291819781335797790806183792053'))",-0.71828182845904523536028747135266249775724709369995,-0.7182818284590452353602874713526624977572470937000
"((-1, -1, 0),)","((1, 1, 0),)",1,0,-1,1,1,exp,"(Decimal('23.834416520271698265932673960270365701634225582334'), Decimal('46409.105698005712995552850542647513709987373060207'))",-1.7182818284590452353602874713526624977572470937000,-1.7182818284590452353602874713526624977572470937000
"((0, -1, 0),)","((0, 1, 0),)",0,0,-1,1,1,exp,"(Decimal('23.482948312305243651401327892900316850160481823661'), Decimal('210207.57504713153393044174456675564775463277247807'))",-1.7182818284590452353602874713526624977572470936999,-1.7182818284590452353602874713526624977572470937000
"((1, 1, 0),)","((1, 1, 0),)",1,0,-1,1,-1,exp,"(Decimal('23.834416520271698265932673960270365701634225582334'), Decimal('46409.105698005712995552850542647513709987373060207'))",1.7182818284590452353602874713526624977572470937000,1.7182818284590452353602874713526624977572470937000
"((3, 1, 0),)","((0, -1, 0),)",1,0,-1,0,-1,exp,"(Decimal('15.201514620495750346649629948682734635404745284671'), Decimal('1.0257045674516218830400914009550781421157521555448'))",2.7182818284590452353602874713526624977572470937000,2.7182818284590452353602874713526624977572470937000
"((-3, -1, 0),)","((0, -1, 0),)",1,0,1,0,-1,exp,"(Decimal('15.201514620495750346649629948682734635404745284671'), Decimal('1.0257045674516218830400914009550781421157521555448'))",-2.7182818284590452353602874713526624977572470937000,-2.7182818284590452353602874713526624977572470937000
"((-1, -1, 0),)","((1, 1, 0),)",1,0,1,-1,-1,exp,"(Decimal('23.834416520271698265932673960270365701634225582334'), Decimal('46409.105698005712995552850542647513709987373060207'))",-1.7182818284590452353602874713526624977572470937000,-1.7182818284590452353602874713526624977572470937000
"((1, 1, 0),)","((1, 1, 0),)",1,0,1,-1,1,exp,"(Decimal('23.834416520271698265932673960270365701634225582334'), Decimal('46409.105698005712995552850542647513709987373060207'))",1.7182818284590452353602874713526624977572470937000,1.7182818284590452353602874713526624977572470937000
"((3, 1, 0),)","((0, -1, 0),)",1,0,1,0,1,exp,"(Decimal('15.201514620495750346649629948682734635404745284671'), Decimal('1.0257045674516218830400914009550781421157521555448'))",2.7182818284590452353602874713526624977572470937000,2.7182818284590452353602874713526624977572470937000
