postproc_funcs,"['safe_inverse', 'lambda x: x', 'lambda x: x**2', 'lambda x: safe_inverse(x**2)', 'safe_sqrt']",target_name,e
"a poly [a_0, a_1, ...]","b poly  [b_0, b_1, ...]",procpost_func index,u,l,c,d,convergence type,convergence rate,postfunc(cont_frac),(u/pi+pi/l+c)/d
"((-2, -1, 0),)","((2, 1, 0),)",0,0,-2,1,1,exp,"(Decimal('8.072656144675999206267452488'), Decimal('0.3656235857335240681970083904'))",-0.3591409142295226176801437357,-0.359140914229522617680143736
"((-3, -1, 0),)","((0, -1, 0),)",1,0,-1,0,1,fast,0,-2.718281828459045235360287471,-2.718281828459045235360287471
"((-1, -1, 0),)","((0, 1, 0),)",0,0,-1,2,1,exp,"(Decimal('7.745636494871616130114539967'), Decimal('0.1671798697129140385356112433'))",-0.7182818284590452353602874716,-0.718281828459045235360287471
"((-1, -1, 0),)","((1, 1, 0),)",1,0,-1,1,1,exp,"(Decimal('7.860600973208144526533092166'), Decimal('0.5449367820721974172423383178'))",-1.718281828459045235360287471,-1.718281828459045235360287471
"((0, -1, 0),)","((0, 1, 0),)",0,0,-1,1,1,exp,"(Decimal('8.001926035082984517568364136'), Decimal('1.970153102748392240241235122'))",-1.718281828459045235360287471,-1.718281828459045235360287471
"((1, 1, 0),)","((1, 1, 0),)",1,0,-1,1,-1,exp,"(Decimal('7.860600973208144526533092166'), Decimal('0.5449367820721974172423383178'))",1.718281828459045235360287471,1.718281828459045235360287471
"((3, 1, 0),)","((0, -1, 0),)",1,0,-1,0,-1,fast,0,2.718281828459045235360287471,2.718281828459045235360287471
"((-3, -1, 0),)","((0, -1, 0),)",1,0,1,0,-1,fast,0,-2.718281828459045235360287471,-2.718281828459045235360287471
"((-1, -1, 0),)","((1, 1, 0),)",1,0,1,-1,-1,exp,"(Decimal('7.860600973208144526533092166'), Decimal('0.5449367820721974172423383178'))",-1.718281828459045235360287471,-1.718281828459045235360287471
"((1, 1, 0),)","((1, 1, 0),)",1,0,1,-1,1,exp,"(Decimal('7.860600973208144526533092166'), Decimal('0.5449367820721974172423383178'))",1.718281828459045235360287471,1.718281828459045235360287471
"((3, 1, 0),)","((0, -1, 0),)",1,0,1,0,1,fast,0,2.718281828459045235360287471,2.718281828459045235360287471
