postproc_funcs,"['safe_inverse', 'lambda x: x', 'lambda x: x**2', 'lambda x: safe_inverse(x**2)']",target_name,pi
"a poly [a_0, a_1, ...]","b poly  [b_0, b_1, ...]",procpost_func index,u,l,c,d,convergence type,convergence rate,postfunc(cont_frac),(u/pi+pi/l+c)/d
"((-1, -3, 0),)","((0, 3, -2),)",0,0,-4,0,1,exp,"(Decimal('2.0773554934844206486249127430330260934056494001975'), Decimal('0.000014003267805103576962811972072938448960936204538011'))",-0.78539816339744830961566084581987572104929234984375,-0.78539816339744830961566084581987572104929234984378
"((-1, -2, 0),)","((0, 0, 1),)",0,0,-4,0,1,exp,"(Decimal('5.8272605951394884305822020761629026984372290256733'), Decimal('0.35726437084312770360148516203066730073389674632968'))",-0.78539816339744830961566084581987572104929234984375,-0.78539816339744830961566084581987572104929234984378
"((-3, -2, 0),)","((0, 2, 1),)",0,0,-2,1,2,exp,"(Decimal('5.8305250821362065315094132600966752592874174319904'), Decimal('0.48360364776332311507163923953010834822800085454878'))",-0.28539816339744830961566084581987572104929234984378,-0.2853981633974483096156608458198757210492923498438
"((-3, -3, 0),)","((1, -1, -2),)",1,0,-2,-1,1,exp,"(Decimal('2.0360261437134680497466776145709167546086011374355'), Decimal('0.0054637392857748546054467911417719615282023631520702'))",-2.5707963267948966192313216916397514420985846996876,-2.5707963267948966192313216916397514420985846996876
"((-2, -3, 0),)","((0, 1, -2),)",0,0,-2,1,1,exp,"(Decimal('2.0590959953786410672247614032003085659680343634266'), Decimal('0.00051661660180646493785191756913933589515297377898166'))",-0.57079632679489661923132169163975144209858469968757,-0.5707963267948966192313216916397514420985846996876
"((-1, -3, 0),)","((0, 1, -2),)",0,0,-2,0,1,exp,"(Decimal('2.0108305798541374520239012033151608484999842340640'), Decimal('0.062752608963042835267713381429727347285920918724181'))",-1.5707963267948966192313216916397514420985846996875,-1.5707963267948966192313216916397514420985846996876
"((-1, 3, 0),)","((0, 3, -2),)",0,0,-2,-2,1,exp,"(Decimal('1.9886941001262101564404873713983606329454937411611'), Decimal('0.77300805865743336744771302557586036900016709819925'))",-3.5707963267948966192313216916397514420985846996875,-3.5707963267948966192313216916397514420985846996876
"((0, -3, 0),)","((0, 3, -2),)",0,0,-2,-1,1,exp,"(Decimal('1.9695223308147038781621411428763573971026884002066'), Decimal('0.00011170230044209314649311132615042758397377772202977'))",-2.5707963267948966192313216916397514420985846996875,-2.5707963267948966192313216916397514420985846996876
"((3, 3, 0),)","((1, -1, -2),)",1,0,-2,-1,-1,exp,"(Decimal('2.0360261437134680497466776145709167546086011374355'), Decimal('0.0054637392857748546054467911417719615282023631520702'))",2.5707963267948966192313216916397514420985846996876,2.5707963267948966192313216916397514420985846996876
"((-3, -3, 0),)","((1, -1, -2),)",1,0,-1,-2,2,exp,"(Decimal('2.0360261437134680497466776145709167546086011374355'), Decimal('0.0054637392857748546054467911417719615282023631520702'))",-2.5707963267948966192313216916397514420985846996876,-2.5707963267948966192313216916397514420985846996876
"((3, 3, 0),)","((1, -1, -2),)",1,0,-1,-2,-2,exp,"(Decimal('2.0360261437134680497466776145709167546086011374355'), Decimal('0.0054637392857748546054467911417719615282023631520702'))",2.5707963267948966192313216916397514420985846996876,2.5707963267948966192313216916397514420985846996876
"((-3, -3, 0),)","((1, -1, -2),)",1,0,1,2,-2,exp,"(Decimal('2.0360261437134680497466776145709167546086011374355'), Decimal('0.0054637392857748546054467911417719615282023631520702'))",-2.5707963267948966192313216916397514420985846996876,-2.5707963267948966192313216916397514420985846996876
"((3, 3, 0),)","((1, -1, -2),)",1,0,1,2,2,exp,"(Decimal('2.0360261437134680497466776145709167546086011374355'), Decimal('0.0054637392857748546054467911417719615282023631520702'))",2.5707963267948966192313216916397514420985846996876,2.5707963267948966192313216916397514420985846996876
"((-3, -3, 0),)","((1, -1, -2),)",1,0,2,1,-1,exp,"(Decimal('2.0360261437134680497466776145709167546086011374355'), Decimal('0.0054637392857748546054467911417719615282023631520702'))",-2.5707963267948966192313216916397514420985846996876,-2.5707963267948966192313216916397514420985846996876
"((3, 3, 0),)","((1, -1, -2),)",1,0,2,1,1,exp,"(Decimal('2.0360261437134680497466776145709167546086011374355'), Decimal('0.0054637392857748546054467911417719615282023631520702'))",2.5707963267948966192313216916397514420985846996876,2.5707963267948966192313216916397514420985846996876
